"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"8012182","","January 1, 2025 at 12:55 AM","Burlington","225 S Willard St","US-7","Property Damage Only","Rear End","Clear","State Highway numbered route, Class 1 TH","25BU000006","Burlington PD","11","1.977","None/Other","Night","225 S Willard St","None","None","","VT0040100","Four-way Intersection","None","225 S Willard St","Dry","0070","44.47412095019624,-73.2053408276283"
"8013282","","January 1, 2025 at 4:43 AM","Burlington","26 Park St","PARK ST.","Property Damage Only","Single Vehicle Crash","Rain","Federal Aid Secondary System (Class 2 TH)","25BU000021","Burlington PD","3","0.059","None/Other","Night","Monroe St","None","None","","VT0040100","T - Intersection","None","26 Park St","Wet","U5036","44.48122318509081,-73.21908839479713"
"8015356","","January 1, 2025 at 7:03 AM","Burlington","S Prospect St","S PROSPECT ST.","Injury","Head On","Cloudy","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000023","Burlington PD","2","0.102","None/Other","Day","College st","None","None","","VT0040100","T - Intersection","None","S Prospect St","Dry","U5050","44.47785492128403,-73.20058277803552"
"8013161","","January 1, 2025 at 5:38 PM","Burlington","30 Main St","BATTERY ST","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000059","Burlington PD","2","999.99","None/Other","Night","Battery St","None","None","","VT0040100","Not at a Junction","","30 Main St","","0000","44.47611262021591,-73.21871117906292"
"8010702","","January 2, 2025 at 11:20 AM","Burlington","111 Colchester Ave","Unknown","Property Damage Only","Other - Explain in Narrative","Clear","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25UV000025","UVM Police","9","999.99","None/Other","Day","UVM Medical Center","None","None","","VT0041100","Parking Lot","Unknown","111 Colchester Ave","Dry","0000","44.47920048103553,-73.19528107329388"
"8012257","","January 2, 2025 at 3:51 PM","Burlington","617 Riverside Ave","RIVERSIDE AVE","Property Damage Only","","","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","25BU000122","Burlington PD","2","0.73","None/Other","Day","617 Riverside Ave","None","None","","VT0040100","T - Intersection","","617 Riverside Ave","","0000","44.48966737353855,-73.20579354500866"
"8012717","","January 3, 2025 at 2:35 PM","Burlington","1127 North Ave","Unknown","Property Damage Only","","","Other Public Roadway (Rest Areas, Shopping Center - anything open to public)","25BU000179","Burlington PD","9","999.99","None/Other","Day","Hannafords Parking Lot","None","None","","VT0040100","Parking Lot","","1127 North Ave","","0000","44.50602011598064,-73.24640550756972"
"8011751","","January 4, 2025 at 9:23 PM","Burlington","North Ave","NORTH AVE","Property Damage Only","","","Street or Town Highways in FA Urban Area","25BU000269","Burlington PD","5","999.99","None/Other","Night","Shore Rd","None","None","","VT0040100","Four-way Intersection","","North Ave","","0000","44.509374260744295,-73.24818385683069"
"8014136","","January 6, 2025 at 8:08 AM","Burlington","505 Riverside Ave","US-7","Property Damage Only","Rear End","Clear","State Highway numbered route, Class 1 TH","25BU000336","Burlington PD","11","3.225","None/Other","Day","N Prospect St","None","None","","VT0040100","Not at a Junction","","505 Riverside Ave","Wet","0070","44.48894051703373,-73.20231642046905"
"8015522","","January 6, 2025 at 11:25 AM","Burlington","Shelburne St / Flynn Ave","US-7","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Clear","State Highway numbered route, Class 1 TH","25BU000345","Burlington PD","11","0.634","None/Other","Day","Protcor Ave","None","None","","VT0040100","Four-way Intersection","Road Surface Condition(wet, icy, snow, slush, etc)","Shelburne St / Flynn Ave","Wet","0070","44.45496666558435,-73.20861901167939"
